"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"Notes about various people."
"Notes about African Americans who attended the University of South Carolina and when."
"Notes with a list of words under a Across and Down column, likely for a crossword puzzle."
"Notes with names and dates."
"Notes about administration."
"Notes about no catalog and administration."
"An Associated Negro Press reporter's pass for John H. McCray."
"A Broad River Golf and Country Club membership card for John H. McCray."
"A Lighthouse and Informer reporter's pass, No. 190."
"An NAACP membership card for John H. McCray."
"A South Carolina Combination Resident Fishing License and Permit for John H. McCray."
"John Henry McCray Papers, Box 7, Folder 25"
"Title Page:  Legal Size, Topical, Lynchings, Woodward, Isaac (Batesburg, S.C.), 1946"
"An article about the lynching and maiming of Isaac Woodward, an African American veteran, by Police Chief Lynwood Lanier Shull, a white man, in Batesburg, South Carolina, and what occurred afterward."
"A letter about the lynching and maiming of Isaac Woodward, an African American veteran, by Police Chief Lynwood Lanier Shull, a white man, in Batesburg, South Carolina, and Reverend Archie Beachem's testimony at the trial."
"A memorandum about Police Chief Lynwood Lanier Shull, a white man known for his violence against Black people in Batesburg, South Carolina, the lynching of Isaac Woodward, and Reverend Archie Beachem's testimony about the incident."
"A memorandum about Police Chief Lynwood Lanier Shull, a white man known for his violence against Black people in Batesburg, South Carolina and the lynching of Isaac Woodward."
"A draft of a letter about the lynching and maiming of Isaac Woodward, an African American veteran, by Police Chief Lynwood Lanier Shull, a white man, in Batesburg, South Carolina, and Reverend Archie Beachem's testimony at the trial."
"An article about the lynching and maiming of Isaac Woodward, an African American veteran, by Police Chief Lynwood Lanier Shull, a white man, in Batesburg, South Carolina, and the trial against Shull"
"John Henry McCray Papers, Box 7, Folder 22, Legal Size, Topical, Lynchings, Woodward, Isaac (Batesburg, S.C.), 1946"
"Title Page:  Legal Size, Topical, """"Slave Sale, The Last"""""
"An article about the last sale of enslaved people during the 19th century in Georgia, United States."
"Notes for an article about the last slave auction/sale."
"A page from  a rough draft of the article The Last Slave Sale."
"Notes with names of people and streets."
"John Henry McCray Papers, Box 7, Folder 23, Legal Size, Topical, """"Slave Sale, The Last"""""
"A list of South Carolina populations by county and township, organized by racial demographic, table of contents page."
"A list of South Carolina populations by county and township, organized by racial demographic,."
"A holiday program for Taylor Street in Columbia, South Carolina."
"A blank form for personal information to be returned to the Senatorial Research Committee."
"A blank form for the State of South Carolina, County of Richland, regarding building codes and construction."
"Front side of a fan with an image of Mrs. Anna May Manigault-Hurley."
"Back side of fan with information for the Manigault-Hurley Funeral Home in Columbia, South Carolina."
"A flier to raise money for African American children and the South Carolina Boy Scouts of America."
"A draft of an advertisement for showcards, posters, signs, and general advertisements by S. M. Richburg."
"A flier for a beauty course in Georgetown, South Carolina."
"A flier to vote for W. A. (Bob) jeter for Auditor of Richland County."
"A flier for the movie The Thing from Another World (1951) at The Capitol Theatre in Columbia, South Carolina."
"A budget spreadsheet for Mr. McCray."
"A letter about military service."
"A congratulatory letter about military service."
"A personal summary for Norbert Alexander Theodore."
"A personal summary for Roy Alexander Powell."
"A personal summary for Le Ray Palmer Chappelle, M. D."
"A bulletin for the Columbia Council on Human Relations."
"A newsletter from the office of Senator Hubert H. Humphrey about Presidential Memorial Certificates."
"A newsletter from the Palmetto Education Association about the cancellation of Vice President Lyndon B. Johnson's visit to South Carolina."
"Backside of newsletter with notes."
"A short story of golf innuendo."
"A report from Isaac E. McGraw returning from the 11th annual convention of the National Negro County Agents Association in Orangeburg, South Carolina."
"John Henry McCray Papers, Box 7, Folder 26"
"A letter from H. B. Butler sent on July 9, 1945."
"A program for the Conference of the Eastern Region of the National Council of Negro Democrats on October 15 - 16, 1945."
"An invitation to the Carolina Social Second Anniversary Ball on September 7, 1951."
"A program for the First Chapel of  1952-53 on September 22, 1952."
"An invitation to the Allen University Commencement Exercises on May 25, 1950."
"A letter to Mr. Samuel R. Higgins from Alton T. Riddick sent on August 2, 1954."
"A letter to Mr. John H. McCray from Mr. and Mrs. H. L. Walker sent on November 5, 1954."
"An invitation to a musical tea held by the Gamma Epsilon chapter of the Alpha Chi Pi Omega Sorority on March 6, 1955."
"A letter to Mr. John H. McCray from Mrs. Rhonda Johnson."
"A Group Insurance Certificate for Allen University that goes into effect October 13, 1956."
"A program for the Fourth Joint Summit of Benedict College and Allen University on August 15, 1957."
"The recommended institutional regulations on academic tenure and freedom that were approved on August 14, 1957."
"A statement by Dr. Frank R. Veal, the President of Allen University."
"A letter to Mr. John McCray from Frank R. Veal sent on February 5, 1958."
"A letter to Mr. McCray from E. L. Hoffman sent on March 12, 1958."
"A check for $5 received by Mr. John H. McCray on February 5, 1958."
"A letter to Mr. John H. McCray from Frank R. Veal sent on June 23, 1958."
"A letter to Mr. John H. McCray from Frank R. Veal sent on March 19, 1959."
"A check for $5 received by Mr. John H. McCray on March 5, 1959."
"A program for the Eighty-Ninth Commencement Exercises on May 28, 1959."
"A document listing the courses that will have only one section with 15 students from Allen University and 15 students from Benedict College."
"A faculty and staff directory for Allen University in 1959-60."
"A statement on procedural standings in faculty dismissal proceedings."
"A document listing the administrative, academic and personnel councils of Allen University, 1959-60."
"A document listing the faculty stations for registration on September 10, 11 and 12."
"A document detailing the general information for the registration period made on September 12, 1959."
"The 1959 football schedule of Allen University."
"A letter to Mr. R. L. Peguese, Jr. from John H. McCray sent on April 12, 1957."
"A card for the National Alumni Association of Allen University."
"A photograph of the Chesterfield cigarettes packaging machine"
"A photograph of a two story motel with a sign that says superfine motel. The caption on the back states that it could be a motel at Atlantic Beach"
"A photograph of a building, Atlantic Beach Grocery that served as a grocery store, caf∩┐╜, and a play to stay"
"A photograph of man standing in front of building, the Logan Funeral Home. On the back of the photograph it states that this buisness was locaated in Saluda, South Carolina"
"A photograph of inside the Taylor Shop owned by Paul Taylor.  Eight men can be seen in the photograph along with jackets and boxes. A note on the back of this photograph states that this buisness was located on Washington Street and it began in 1916"
"A photograph of the Lighthouse Publishing Company building taken from a distance away. The sign for the this buisness can be seen in the photograph and a note on the back of this photograph states that it was located on Harden Street"
"A photograph of a sweet shop or concession store. A woman is standing behind the counter getting coffee for a customer and a man is at the counter. Chips and jars of pickles can be seen in the photograph. A note on the back of this photograph states that is a Sweet Shop"
"A photograph of the Taylor Shop on Washington Street. Four people can be seen standing in the store. A note on the back indentifies this as the Taylor Shop on Taylor Street"
"A photograph of an unknown substaine such as peper being poured onto a spoon froma glass jar"
"A photograph of man standing in front of a tobacco machine"
"A photograph of a woman sitting by a cigarette packing machine"
"A Photograph of a drawing or illustration of a builing being constructed. Some of the floors are finished, but others are being constructed"
"A photograph of waitress standing by a car. Inside the car is woman. The waitress is standing by a basket that hooks onto the window portion of the car door. On top of this basket is two bottles and paper cups."
"A photograph of a woman standing by a car with a woman sitting inside the car. Two men can be seen in the background along with the sigh Royal Crown Cola"
"A photograph of two woman standing by a car. There is basket on the widow portion of the car with two soda bottle and cups onto of it"
"Folder of photographs documenting business activities"
"A photograph of five students holding books standing outside a building"
"A group photograph of male students standing next to a building, with students in the front row sitting on the grass. Some the students in the first two rows are carrying banners that says Benedict, Avery, or Claflin. A note on the back states that this photograph was taken in Orangeburg South Carolina and gives a date for April 11, 1930 to April 13, 1930"
"A photograph of two buildings with cars parked near them"
"A photograph of the audience sitting in an auditorium possibly during a graduation ceremony. A note on the back of the photograph states that an educator Madden DaCostes in sitting in the middle of the front row"
"A photograph of ten children dresses in late American colonial costume holding tea cups or the American flag"
"A group photograph of the Oxford Club with Dr. Seabrook and the Reverend Caldwell with seven students sitting around a table. The caption on the back of the photograph states that this is the Oxford Club planning the annual Religious Emphasis Week with Dr. Seabrook and the Reverend Caldwell lending their experience"
"A photograph of two men holding a trophy and shaking hands"
"A photograph taken at a dance or ball. There are couples dancing with couples sitting at tables"
"A photograph of two couples singing. The women are wearing ball gowns and the men are wearing suits, possibly giving a performance"
"A photograph of students in band uniforms and holding instruments standing on a football field"
"A photograph of five young girls dressed up possibly for school performance. The young girl in front is wearing a hat and cape with a star on it"
"A photograph of students in band uniforms or batton uniforms standing on the football field. Some students are holding instruments and the battons can be seen on the ground"
"A photograph of man standing at a podium giving a speech or sermon. Sitting behind him are seven woman"
"A group photograph of men and women standing in front of a building. The men in the front row are kneeling and six people are standing on  stair rail"
"A photograph of the audience sitting on folding chairs inside a gym"
"A photograph of students and factually members grading or reading  documents. The note on the back states this is from Allen University"
"A photograph of five students standing outside. The note on the back of the photograph states that these students are from Allen University"
"A photograph of two woman standing by a fountain or bird bath"
"A photograph of two woman sitting on a staircase and holding a book"
"A photograph of two men in suits standing outside. A note on the back states that these are two Allen University students"
"A photograph of three woman sitting on a bench outside with a flowers behind them. A return note on the back of this photograph states that this photograph might be of the A & M State College in Orangeburg, South Carolina"
"A photograph of C. P. T. A. at the Fairweld Elementary School. It is a group photograph of two woman and four men standing by a two wrapped gifts placed on the floor. The people in the photograph are Mr. Lomas Gist, Sophie Babridge, Norman ?"
"Folder of photographs centered on education"
"A photograph of ten women sitting in a living room."
"A photograph of eight women at a party standing around a table."
"A photograph of five women in formal attire posing.  Mattie McCray is in the middle of the photograph."
"A photograph of five women in formal attire posing.  Two of the people in the photograph are Marjorie Clarkson Stevenson and Mattie McCray."
"A photograph of eleven women in formal attire posing for a photograph at an event."
"A photograph of eleven women in formal attire sitting in a semi-circle and posing for a photograph at an event.  Four men and a drum set can be seen in the background."
"A photograph of a large group of women standing and sitting before a formal luncheon.  Tables with tablecloths are seen in the photograph."
"A photograph of a seven women standing behind a table with floral arrangements."
"A photograph of eight women posing in front of a large curtain. Four of the women are wearing flower corsages with ribbons."
"A photograph of eight women at a social gathering at a house. Some of the people in the photograph are Mrs. Wilhelmina Kershia and Robbie Atkinson."
"John Henry McCray Papers, Box 8, Folder 66, Photographs, Women's Club"
"A group of 16 women posing in front of a house. Seven women are sitting in chairs, nine women are standing behind them."
"A group of 24 women standing together on the beach."
"Portrait of a girl wearing a hat with a star on top."
"The queen sitting on her throne beside her cup bearer, two children (a boy and a girl) standing in front of her flanked by two other women."
"The queen standing in front of her throne behind two young children (a boy and a girl) and a man, flanked by two other women."
"The queen standing next to a man."
"The queen sitting on her throne as her cup bearer offers her a drink, flanked by two other sitting women."
"A group of 13 girls posing in a gym. Three girls are sitting on the ground, five girls are kneeling behind them, five girls are standing behind those kneeling."
"A group of 35 girls and two teachers standing in a classroom."
"A woman standing at a podium talking, with a group of women sitting in chairs behind her."
"A group of 13 girls standing on stairs in front of a building."
"A group of 9 women watching another woman sign a document. The women seated left to right are: Mrs. Parisina Shiver, Mrs. Martha G. Bynoe (D), Mrs. Olivia Johnson, Mrs. Hattie Goff, Mrs. Louise White [D]; Some of the women standing are: Mrs. Mary Heyward, Mrs. Lucretia Carew, Mrs. Jettie Freeman, Mrs. Thornton"
"A woman standing at a podium in front of 10 women sitting in chairs."
"A different angle of a woman standing at a podium in front of women sitting in chairs."
"A group of 14 girls standing behind a table and YWCA signs on stage for a YWCA event."
"A different angle of 15 girls standing behind a table and YWCA signs on stage for a YWCA event."
"John Henry McCray Papers, Box 8, Folder 68, Photographs, Women's Club"
"A group of 12 women standing in front of a building."
"A group of 7 women sitting on wooden furniture."
"A group of 5 women posing with their arms around each other."
"3 women posing to sign a document. Two are standing and one is sitting."
"A group of 5 women sitting and posing in the grass."
"A group of 6 women posing in front of a tree. Two women are standing beside the tree, four women are sitting in front of the tree."
"A group of 5 women posing with their hand on their hip in front of a bush."
"A group of 11 women standing in a line beside a garden bed."
"A group of 11 women standing in front of a house and next to a small garden of flowers."
"A group of 9 women standing in the grass with their arms around each other."
"A group of 8 women posing in a room. Three women are sitting, five women are standing behind them."
"A group of 14 women posing outside. Four women are squatting, ten women are standing behind them."
"John Henry McCray Papers, Box 8, Folder 67, Photographs, Women's Club"
"Meeting of the Eastern Stars held at the Old First Calvary Baptist. Some of the people in this picture: W. N. Roseboro, Mrs. Vivian Pompeg, Mrs. N. Lucas, Mrs. Annie Watson, Miss Jennie Gladden, Mrs. Margaret Smith, Ethel Ford, Mrs. Rachel Griffin, Dennis Cannon, Olivia Brown."
"Members of the Eastern Stars sitting and standing, holding collection jars. Some of the people in the picture Mrs. Emma Cannon, Mrs. Mattie Brown (McQueen), Marget Afford Soaders, Bernie Mortin, Creswell Howard, Mrs. Boneport, Ethel J. Finley, Russels Folden Freeman."
"Members of the Eastern Stars sitting in church pews. Some of the people in the photograph are: Mrs. James and Mrs. Brown."
"A copy of the photograph of Members of the Eastern Stars sitting in church pews. Some of the people in the photograph are: Mrs. James and Mrs. Brown."
"Members of the Eastern Stars at a reception or ball. Members are dressed in formal attire, sitting and standing in large room."
"A duplicate photograph of members of the Eastern Stars at a reception or ball. Members are dressed in formal attire, sitting and standing in large room."
"A photograph showing three woman, members of the Eastern Stars, posing for a photograph."
"A photograph showing eight members of the Eastern Stars posing for a photograph. In the first row is possibly Lillian Bowman."
"A photograph showing a group of men and women dressed in formal attire. The women are holding bouquets of flowers. In the background there is a sign that says Krupps. In this photograph: 1st row Kathlyn Johnson, Mrs. Louise Ruff, Mrs. Willie Brooks, Mrs. Helen Donnelly, Mrs. Marian Clawson, Morgan, Mrs. Margaret, Scott Walker, Miss Doris Chappelle, Mrs. Bessie Pearsons Jenkins, Mrs. Homer Evertt, 2nd row: Willis Johnson, Joseph Ruff, Charles Brooks, Ottis Johnson, Dr. Clerance Morgan, Bura Holler, Arthur Noah, Fred Jeankins, Harvey Evenett."
"John Henry McCray Papers, Box 8, Folder 65, Photographs, Women's Club"
"Photograph of members of the Alpha Kappa Alpha standing in front of a curtain. Some of the members in the photograph are: Mande Jenkins Veal, Mrs. A. Katherine Johnson Reginal Director, Odessa Nelson, unknown, and Mande Pride."
"Photograph of members of the Zeta Phi Beta group. Some people are standing, some are sitting.  Some of the members in the photograph are: Mrs. Hoaberry, Mrs. Fisher, Mrs. Alberta Steveson, Mrs. F. Adams, Mrs. Beassengale"
"Photograph of the Delta group.  Some people are standing and some are sitting.  A few hold the Greek letters representing their sorority.  Some of the members in the photograph are: Mrs. E. Sims Ruthford, Miss. Rachel Spann, unknown, Mrs. G. Cornwell Scott, Mrs. M. G. Thompson, Miss H. Chappel. 2nd row: unknown, Miss Sarah Thompson, Mrs. Robbie Atkinson, Miss Jennie Young, Miss Evelyn Johnson Brown, Miss F. V. Pennington, Miss M. Scott, Mrs. Willemendia P Noadles, Mrs. Vivion Monteith. 3rd row: Mrs. Dorothy N. Russel, Miss Vivian Calboun, Miss M. Hoover, Miss Annie Willenson, Mrs. Nettie Sanders, Syvania Swinton, unknown, Miss Goves, Mrs. Mae Johnson, unknown, Mrs. Wilhmenia ?, Miss Willie Dixon, Miss Wilma Dixon, Mrs. M. Johnson, Miss M. Lenie, Miss Cornell, Mrs.  G. Gillman"
"Photograph of members of the Alpha Gamma Chi Sorority, Beta Alpha Chapter.  Some people are standing, some are sitting on a couch."
"Photograph of two women, both holding a gavel.  There is a name on the back of the photograph:  Wilhelmia Hallman."
"Photograph of members of the National Delta Chapter.  People in the photograph are: Dorothy Lane, W. Goodwin, and D. Douglas."
"Photograph of a Delta gathering, including Mrs. Clemmie Webber and Dorothy Haight."
"Photograph of members of the Delta group standing on and in front of a staircase in formal attire."
"Photograph of members of the Delta group on a stage.  Some of the people in the photograph are, from left to right: Miss S. Green, Miss B. Thompson, Mrs. Elise Harley, Mrs. J. Martin Morton, unknown, Mrs. Carol Jeakins Cooper, Miss G. Mitchel, Mrs. Manion G. Thompson,  unknown, Mrs. Gillion, Mrs. Scott Waeber, Mrs. Halestine"
"Photograph of members of the Delta Elipson Theta group.  Some people are standing, some are sitting, and a few are holding the Greek letters representing their sorority.  Some of the members phtoographe are: 1st row: Miss. Larry James, Mrs. Wilhelmenia Madden, unknown, Mrs. Harriett Rodgers, Mrs. E. Johnson, Miss G. Fodder, Mrs. Brown, Miss V. Tarleton.  Second row: Mrs. G. Nelson, Miss F. Vance, Miss Luicia Jones, Moss Willa Diton, Mrs. W. Kershaw, Mrs Erline Gott, Mrs. M. Paul.  Third row: Mrs. Mattie Ward Gastona, Mrs. Cornwell, Miss Dorothy Nouse?, Mrs. V. N. Monetrith, unknown, Miss Guleitte Gillman, Mrs. Garnisk, Miss A. Millions, Mrs. S. P. Swinton, Miss Eugene Decosta Higgins, unknown, Mrs. Jones."
"Photograph of members of the Delta group.  Some of the members in the photograph are, seated from left to right: Mrs. Potts, Miss McDonald, Mrs Rogers, Mrs. Martin, Mrs. Nelson, Miss Adams, unknown, Miss Timber, unknown, unknown, unknown, unknown, Miss Ella Myers, Standing: unknown, unknown, Mrs. W. Middlen, Miss M. Russell, Miss Lawerson, unknown, unknown, unknown, unknown, unknown."
"Photograph of undergraduate members of the Delta Sigma Theta Sorority.  Some people are standing, and four people are sitting on a couch."
"Photograph of members of the Zeta Phi Beta sorority.  Some are standing and a few are sitting on a blanket in the grass."
"John Henry McCray Papers, Box 8, Folder 64, Photographs, Women's Club"
"A photograph of the body of Willie Earle lying on a table, partially covered by fabric."
"John Henry McCray Papers, Box 8, Folder 62, Photographs, Willie Earle Lynching"
"A photograph of four men posing for a photograph.  They are wearing suits and standing outside on a dirt road.  The four men are, from left to right:  John H. McCray, Peter Ingram, J. C. Artmus, and James M. Hinton."
"A photograph of people standing outside in a line waiting to vote, possibly in the general election in 1948.  A building with the name Sunshine Laundry Cleaners can be seen in the backgorund.  Juliette and William Gillion are visible near the back of the line."
"A photograph of people standing outside in a line waiting to vote, possibly in the general election in 1948.  A building with sign for Indian Motorcycle can be seen in the background."
"A photograph showing a closer view of people standing outside in a line waiting to vote, possibly in the general election in 1948."
"A duplicate photograph showing a closer view of people standing outside in a line waiting to vote, possibly in the general election in 1948."
"A newspaper image of  people standing outside in line to at the Fourth Ward to vote.  According to the caption this was the first time that African Americans could cast a vote in the white primary and many were still waiting in line when the polls closed at 6 PM."
"A photograph showing a closer view of people standing outside in a line waiting to vote, possibly in the general election in 1948. A businesses with the sign ESSO Service Center and L. C. Oden can be seen in the background."
"A duplicate photograph showing a closer view of people standing outside in a line waiting to vote, possibly in the general election in 1948. A businesses  with the sign ESSO Service Center and L. C. Oden can be seen in the background."
"A photograph taken at a different angle showing a closer view of people standing outside in a line waiting to vote, possibly in the general election in 1948. A businesses  with the sign ESSO Service Center and L. C. Oden can be seen in the background. The lady with the umbrella is Mrs. Dunella Wilson of Columbia, South Carolina."
"A duplicate photograph taken at a different angle showing a closer view of people standing outside in a line waiting to vote, possibly in the general election in 1948. A businesses with the sign ESSO Service Center and L. C. Oden can be seen in the background. The lady with the umbrella is Mrs. Dunella Wilson of Columbia, South Carolina."
"A photograph taken at different location showing people standing outside in a line waiting to vote, possibly in the general election in 1948. A businesses with the sign Richardson's Market can be seen in the background. In the bottom right corner, two men, Willis C. Johnson and Mance, are talking."
"A photograph taken inside a polling location.  Different people are seen holding papers and standing outside in line.  In the center of the photograph is small table with a woman sitting at it.  A possible barber shop is seen through the windows and across the street."
"A photograph taken at different location showing people standing outside in a line waiting to vote, possibly in the general election in 1948.  A the sign for Sunshine Laundry Cleaners is partially seen in the left portion of the photograph.  Mrs. Juliette Gilliam is seen in the middle of the photograph reading a booklet.  William Gillman is standing outside two places behind Mrs. Julette Gilliam."
"A photograph taken at a different angle showing people standing outside in a line by the Sunshine Laundry Cleaners building waiting to vote, possibly in the general election in 1948.  A front section of the Sunshine Laundry Cleaners building is partially seen in the right portion of the photograph.  Mrs. Juliette Gilliam and William Gilliam are in the far right of the photograph."
"A photograph taken at a different angle showing people standing outside in a line near the Indian Mortorcycle building waiting to vote, possibly in the general election in 1948. Other buisnesses including Richardson's Market are seen in the right portion of the photograph.  James Hinton can be seen in line."
"A photograph taken at a different angle showing people standing outside in a line near the side Indian Mortorcycle building waiting to vote, possibly in the general election in 1948.  The portion of the front of the Sunshine Cleaners building can also be seen in the photograph.  James Hinton can be seen in line."
"John Henry McCray Papers, Box 8, Folder 59, Photographs, Voting"
"A photograph of a Women's Club, The New Century Club. In this photograph several women are standing next to a table. Left to right are Mrs. Kathleen Johnson Moses, Dorothy Russel, Mrs. Vivian Marshall, Mrs. Meredith Conley Douglas, Mrs. Bensye Piedon, Mrs. Monia Clarborn, Morgan, Mrs. Myrtle S. Thompson, Mrs. Margret Boulware, Mrs. Agnes Evans, Mrs. Brillie Chappelle Stevenson, Mrs. Varenia Chappelle Williams, Mrs. Ethel Bolden."
"A photograph of members of a Women's Club in formal attire.  Some people are standing and four women are sitting on a couch."
"A photograph of members of the Jack and Jill of America, Inc. sitting around a table."
"A photograph of nine women of Medical Wives.  One seated woman is M. Hollman Aihen Dr. Spann's wife of Lancaster.  Two of the standing women are Mrs. M. Pride and Mrs. Daisy Covants."
"A photograph of the Senior Hostesses of the Bethlehem Center, Group 2. Seated from left to right includes Mrs. Lillian Spann, Mrs., Clark, Mrs. Ola Stakefield, Mrs. Annie Frasier, Mrs. Sarah Pearden, Mrs. Julia Glenn.  First row standing is Mrs. Azalia Beaver, Mrs. C. W. Madden, Russel, Eliza Richmond, Ada King, Edna Murles, Mrs. Gordon, Eliza Miekle, Mrs. Sallie Smith, Mrs. Jackson, Mrs. M. McDrer, Mrs. Berniece Primus.  Second row standing is Mrs. Etta Sightler, Whileneva Hallman, Vivian Moutieth, Miss Mayne Griffin, Mrs. Jamie Cooper, Mrs. Hordon."
"A photograph of the board members of Bethlehem Center, Picture 1.  Seated from left to right is Mrs. Patterson, Viola Carter, Miss Francis Howard.  Standing is Mrs. Beulah Baxley, Blakie Barley, Miss Jane McDonald, Miss Ruby Ott, Mrs. Joseph Hope, A. J. Turner, H. H. Cooper."
"A photograph of members of a women's club, including Mrs. Ethen Hagood and Mrs. Bertie Baylor."
"A photograph of members of YMCA Group.  First row from left to right includes unknown, Mrs. Ethen Hagood, Mrs. Bertie Baylor, Mrs. Ellen Boohman.  Second row from left to right includes Carolyn Weston, Mrs. Lonnie Butler, unknown, Mrs. Williams, Mrs. Gilbert, Mrs. Jackson."
"A photograph of a Medical Wives Luncheon.  People sit at various tables and a server can be seen standing."
"A second photograph taken at a Medical Wives Luncheon.  People are sitting at various tables."
"A photograph of a group of nine women of Doctors' Wives."
"A photograph of the teenage members of the Columbia, South Carolina Chapter of the Jack and Jill of America, Inc. standing in front of a charted bus. This group attended the Teen Age Regional held in Richmond, Virginia.  The theme of the regional was Youth Speaks and the World Listens. In the photograph includes, from left to right: Mrs. Walker E. Solomon, the Misses Irene Walker, Fronzena Williams, Patricia Bogan, Christeve Martin, Alexis Walker, Regina Brandyburg, Corine Whittington, Helen Gilliman, Joyce Solomon, Miriam Bogan, Carolyn Fair, Brenda Graham and Mrs. Leroy M. Fair.  Kneeling are: Charles F. Bolden, Jr. Kelly M. Harvey, Norman P. Pendergrass, Jr., Arthur D. Green, Jr., and Isaac E. McGraw, Jr."
"A photograph of Jack and Jill teenage members. Seated, from left to right, is Patty Smith, B. Boulware, I. Waeber.  Standing, from left to right, is:  J. Mortin, Regina Broadsburg,  Arthur Grees, Carolyn Fair, M. Bogou, C. Whitting Hiwpson."
"A photograph of the Bethel A. M. E. Church sponsors of the Teenage Club.  Members pictured, from left to right, are Mrs. C. Treton, Mrs. M. King, Mrs. P. Benson, Mrs. G. Mortin, Mrs. Elose Mortin."
"A photograph of a table setting by the matrons of the Bethel A. M.E. Church.  Pictured is a platter of food, two punch bowls, and two candleabras."
"A photograph of a Women's Club.  Pictured in the first row, from left to right, is:  Mrs. Justine Johnson, Mrs. Anne Winglen, Mrs. Winglen, Mrs. Essie Chappelle, Mrs. Valemoa Chappelle, Williams, Mrs. Elise Jeakins, Miss Cooper, Mrs. W. Moddlens.  Second row, from left to right, is:  Mimmie Johnson, Mrs. Hornett Rodgers, Mrs. Ada Leathes Stanbach, Mrs. Dorothy N. Rumell, Mrs. Poe, Mrs. Ida Cooper, Mrs. Ruth DeLorme, Mrs. Williams, Mrs. T. B. Goves, Mrs. Smith, Mrs. Billie Stephenson, Mrs. Mariel Potts."
"John Henry McCray Papers, Box 8, Folder 63, Photographs, Women's Club"
"A portrait of man and woman smiling and cutting a wedding cake on a table near a floral arrangement."
"A portrait of a wedding party. The bride and groom are standing in the middle surrounded by bride's maids on both sides. Two young girls are standing in the front row."
"A portrait of Mr. and Mrs. Benjamin H. Washington on their wedding day. The couple are standing outside. Behind there are candle sticks and flowers in vases."
"A portrait of Katherine D. Williams (maiden name Chappelle) in her wedding dress. She is standing on stairs and a vase is seen to left of her."
"A portrait of unidentified bride and groom at their reception. They are smiling and standing near the wedding cake."
"A portrait of a bride and groom standing in front of a mantle and fire place. Flowers are setting on the floor on either side of the couple. This is the same couple from the wedding party photo."
"A photograph taken during the wedding ceremony for Paul and Clemmie Webber. The bride and groom are standing in front of the minister in church. The maid of honor and best man can be seen near the couple."
"A portrait of a bride and groom (possibly the Suber family) standing in front of a candelabra with light candles. The lace train of the bride's dress is spread out in front of the couple."
"A portrait showing a bride and groom standing with the maid of honor and best man in a building.  The bride is holding a white cover Bible.  Possibly the Whaley-Bringier wedding."
"A portrait of bride. She is wearing her wedding dress, a pearl necklace, and a veil."
"A portrait showing a bride and groom standing with family members at the Townsman Club.  Avery Fields is standing far to the right."
"A portrait showing a bride and groom at their reception, smiling and cutting the wedding cake."
"A portrait showing a bride and groom, Paul and Clemmie Webber, on their wedding day."
"A portrait showing a bride and groom, Paul and Clemmie Webber, on their wedding day. The parents of the bride and groom are standing on either side of the newly weds."
"A portrait showing the bride and groom standing with their families and the minister."
"A portrait of an engaged couple sitting on a sofa with friends."
